Date,NDVI,Sensor,Region
1-May-19,-0.038,sl2,roi
6-May-19,0.409,sl2,roi
24-May-19,-0.085,sl2,roi
24-May-19,-0.093,sl2,roi
24-May-19,0.706,sl2,roi
24-May-19,0.443,sl2,roi
3-Jun-19,-0.09,sl2,roi
3-Jun-19,-0.088,sl2,roi
3-Jun-19,0.744,sl2,roi
3-Jun-19,0.472,sl2,roi
5-Jun-19,-0.073,sl2,roi
5-Jun-19,-0.069,sl2,roi
13-Jun-19,-0.05,sl2,roi
25-Jun-19,-0.05,sl2,roi
25-Jun-19,0.265,sl2,roi
25-Jun-19,0.796,sl2,roi
25-Jun-19,0.683,sl2,roi
28-Jun-19,-0.044,sl2,roi
28-Jun-19,0.351,sl2,roi
28-Jun-19,0.836,sl2,roi
28-Jun-19,0.705,sl2,roi
30-Jun-19,-0.016,sl2,roi
30-Jun-19,0.355,sl2,roi
30-Jun-19,0.812,sl2,roi
30-Jun-19,0.702,sl2,roi
10-Jul-19,0.794,sl2,roi
10-Jul-19,0.721,sl2,roi
20-Jul-19,0.149,sl2,roi
20-Jul-19,0.547,sl2,roi
20-Jul-19,0.802,sl2,roi
20-Jul-19,0.729,sl2,roi
23-Jul-19,0.213,sl2,roi
23-Jul-19,0.55,sl2,roi
23-Jul-19,0.828,sl2,roi
23-Jul-19,0.737,sl2,roi
9-Aug-19,0.323,sl2,roi
9-Aug-19,0.612,sl2,roi
9-Aug-19,0.824,sl2,roi
9-Aug-19,0.741,sl2,roi
17-Aug-19,0.836,sl2,roi
27-Aug-19,0.243,sl2,roi
27-Aug-19,0.075,sl2,roi
27-Aug-19,0.799,sl2,roi
27-Aug-19,0.709,sl2,roi
3-Sep-19,0.705,sl2,roi
3-Sep-19,0.695,sl2,roi
13-Sep-19,0.33,sl2,roi
13-Sep-19,0.543,sl2,roi
13-Sep-19,0.839,sl2,roi
13-Sep-19,0.721,sl2,roi
16-Sep-19,0.243,sl2,roi
16-Sep-19,0.527,sl2,roi
16-Sep-19,0.835,sl2,roi
16-Sep-19,0.725,sl2,roi
21-Sep-19,0.308,sl2,roi
21-Sep-19,0.508,sl2,roi
21-Sep-19,0.832,sl2,roi
21-Sep-19,0.708,sl2,roi
1-Oct-19,0.32,sl2,roi
1-Oct-19,0.457,sl2,roi
23-Oct-19,0.226,sl2,roi
23-Oct-19,0.357,sl2,roi
23-Oct-19,0.709,sl2,roi
23-Oct-19,0.662,sl2,roi
26-Oct-19,0.271,sl2,roi
26-Oct-19,0.368,sl2,roi
26-Oct-19,0.699,sl2,roi
26-Oct-19,0.659,sl2,roi
10-Nov-19,0.107,sl2,roi
30-Nov-19,0.53,sl2,roi
5-Dec-19,-0.116,sl2,roi
5-Dec-19,0.507,sl2,roi
30-Dec-19,-0.124,sl2,roi
30-Dec-19,-0.037,sl2,roi
30-Dec-19,0.517,sl2,roi
30-Dec-19,-0.029,sl2,roi
1-Jan-20,-0.113,sl2,roi
1-Jan-20,-0.017,sl2,roi
1-Jan-20,0.525,sl2,roi
1-Jan-20,-0.037,sl2,roi
6-Jan-20,-0.12,sl2,roi
6-Jan-20,-0.022,sl2,roi
11-Jan-20,0.593,sl2,roi
11-Jan-20,-0.052,sl2,roi
14-Jan-20,-0.138,sl2,roi
14-Jan-20,-0.034,sl2,roi
14-Jan-20,0.624,sl2,roi
14-Jan-20,-0.071,sl2,roi
16-Jan-20,-0.137,sl2,roi
16-Jan-20,-0.038,sl2,roi
21-Jan-20,-0.088,sl2,roi
21-Jan-20,0.608,sl2,roi
24-Jan-20,-0.119,sl2,roi
24-Jan-20,-0.028,sl2,roi
24-Jan-20,0.61,sl2,roi
24-Jan-20,-0.082,sl2,roi
8-Feb-20,-0.105,sl2,roi
8-Feb-20,-0.029,sl2,roi
8-Feb-20,0.543,sl2,roi
8-Feb-20,-0.036,sl2,roi
18-Feb-20,-0.073,sl2,roi
18-Feb-20,-0.035,sl2,roi
18-Feb-20,-0.077,sl2,roi
