Date,NDVI,Sensor,Region
9-Apr-17,-0.056,ls7,roi
24-Apr-17,-0.058,ls8,roi
23-Sep-17,-0.056,ls7,roi
29-Dec-17,-0.29,ls8,roi
5-Jan-18,-0.166,ls8,roi
14-Feb-18,-0.142,ls7,roi
19-Apr-18,-0.088,ls7,roi
10-Sep-18,0.257,ls7,roi
27-Sep-18,0.238,ls8,roi
13-Oct-18,0.176,ls8,roi
20-Oct-18,0.651,ls8,roi
29-Nov-18,-0.144,ls7,roi
16-Jan-19,-0.125,ls7,roi
17-Feb-19,-0.172,ls7,roi
26-Feb-19,-0.087,ls7,roi
21-Mar-19,-0.051,ls7,roi
22-Mar-19,-0.075,ls8,roi
30-Mar-19,-0.046,ls7,roi
7-Apr-19,-0.083,ls8,roi
22-Apr-19,-0.081,ls7,roi
9-Jun-19,-0.089,ls7,roi
14-Sep-19,0.318,ls8,roi
21-Sep-19,0.26,ls8,roi
3-Dec-19,-0.315,ls8,roi
11-Dec-19,-0.195,ls7,roi
26-Dec-19,-0.653,ls8,roi
12-Jan-20,-0.208,ls7,roi
27-Jan-20,-0.227,ls8,roi
16-Mar-20,-0.07,ls7,roi
23-Mar-20,-0.064,ls7,roi
1-Apr-20,-0.045,ls7,roi
8-Apr-20,-0.069,ls7,roi
16-Apr-20,-0.074,ls8,roi
17-Apr-20,-0.08,ls7,roi
1-Oct-20,-0.089,ls7,roi
19-Nov-20,-0.439,ls8,roi
26-Nov-20,-0.309,ls8,roi
30-Jan-21,-0.056,ls7,roi
22-Feb-21,-0.19,ls7,roi
23-Feb-21,-0.587,ls8,roi
2-Mar-21,-0.089,ls8,roi
26-Mar-21,-0.057,ls7,roi
27-Mar-21,-0.073,ls8,roi
28-Apr-21,-0.106,ls8,roi
10-Aug-21,0.332,ls7,roi
26-Aug-21,0.376,ls7,roi
3-Sep-21,0.326,ls8,roi
29-Oct-21,-0.101,ls7,roi
16-Dec-21,-0.238,ls9,roi
23-Dec-21,-0.266,ls9,roi
31-Dec-21,-0.323,ls8,roi
1-Jan-22,-0.674,ls9,roi
16-Jan-22,-0.337,ls8,roi
25-Jan-22,-0.325,ls8,roi
9-Feb-22,-0.186,ls7,roi
5-Mar-22,-0.07,ls8,roi
6-Mar-22,-0.134,ls7,roi
13-Mar-22,-0.174,ls7,roi
14-Mar-22,-0.084,ls8,roi
22-Mar-22,-0.067,ls7,roi
22-Mar-22,-0.074,ls9,roi
6-Apr-22,-0.069,ls8,roi
14-Apr-22,-0.108,ls9,roi
