Date,NDVI,sensor,region
28-Feb-19,0.646,sl2,bb polygons
5-Mar-19,-0.008,sl2,bb polygons
5-Mar-19,-0.035,sl2,bb polygons
5-Mar-19,0.414,sl2,bb polygons
12-Mar-19,0.025,sl2,bb polygons
12-Mar-19,0.509,sl2,bb polygons
17-Mar-19,0.406,sl2,bb polygons
20-Mar-19,0.304,sl2,bb polygons
20-Mar-19,0.697,sl2,bb polygons
22-Mar-19,0.397,sl2,bb polygons
22-Mar-19,0.298,sl2,bb polygons
22-Mar-19,0.496,sl2,bb polygons
30-Mar-19,0.391,sl2,bb polygons
30-Mar-19,-0.031,sl2,bb polygons
30-Mar-19,0.351,sl2,bb polygons
30-Mar-19,0.635,sl2,bb polygons
19-Apr-19,0.395,sl2,bb polygons
19-Apr-19,0.3,sl2,bb polygons
19-Apr-19,0.577,sl2,bb polygons
19-Apr-19,0.598,sl2,bb polygons
21-Apr-19,0.399,sl2,bb polygons
21-Apr-19,0.775,sl2,bb polygons
1-May-19,0.834,sl2,bb polygons
1-May-19,0.465,sl2,bb polygons
6-May-19,0.654,sl2,bb polygons
6-May-19,0.463,sl2,bb polygons
24-May-19,0.546,sl2,bb polygons
24-May-19,0.587,sl2,bb polygons
24-May-19,0.683,sl2,bb polygons
3-Jun-19,0.697,sl2,bb polygons
3-Jun-19,0.585,sl2,bb polygons
3-Jun-19,0.783,sl2,bb polygons
3-Jun-19,0.579,sl2,bb polygons
5-Jun-19,0.646,sl2,bb polygons
13-Jun-19,0.773,sl2,bb polygons
13-Jun-19,0.124,sl2,bb polygons
18-Jun-19,0.608,sl2,bb polygons
25-Jun-19,0.802,sl2,bb polygons
25-Jun-19,0.881,sl2,bb polygons
25-Jun-19,0.568,sl2,bb polygons
28-Jun-19,0.807,sl2,bb polygons
28-Jun-19,0.558,sl2,bb polygons
28-Jun-19,0.885,sl2,bb polygons
28-Jun-19,0.606,sl2,bb polygons
30-Jun-19,0.777,sl2,bb polygons
30-Jun-19,0.681,sl2,bb polygons
30-Jun-19,0.525,sl2,bb polygons
10-Jul-19,0.722,sl2,bb polygons
10-Jul-19,0.528,sl2,bb polygons
20-Jul-19,0.725,sl2,bb polygons
20-Jul-19,0.523,sl2,bb polygons
23-Jul-19,0.806,sl2,bb polygons
23-Jul-19,0.485,sl2,bb polygons
23-Jul-19,0.765,sl2,bb polygons
23-Jul-19,0.651,sl2,bb polygons
9-Aug-19,0.778,sl2,bb polygons
9-Aug-19,0.898,sl2,bb polygons
9-Aug-19,0.564,sl2,bb polygons
17-Aug-19,0.829,sl2,bb polygons
27-Aug-19,0.799,sl2,bb polygons
27-Aug-19,0.613,sl2,bb polygons
27-Aug-19,0.84,sl2,bb polygons
27-Aug-19,0.652,sl2,bb polygons
3-Sep-19,0.907,sl2,bb polygons
3-Sep-19,0.578,sl2,bb polygons
13-Sep-19,0.788,sl2,bb polygons
13-Sep-19,0.909,sl2,bb polygons
13-Sep-19,0.587,sl2,bb polygons
16-Sep-19,0.813,sl2,bb polygons
16-Sep-19,0.515,sl2,bb polygons
16-Sep-19,0.899,sl2,bb polygons
16-Sep-19,0.654,sl2,bb polygons
21-Sep-19,0.781,sl2,bb polygons
21-Sep-19,0.513,sl2,bb polygons
21-Sep-19,0.74,sl2,bb polygons
21-Sep-19,0.673,sl2,bb polygons
1-Oct-19,0.396,sl2,bb polygons
1-Oct-19,0.438,sl2,bb polygons
23-Oct-19,0.559,sl2,bb polygons
23-Oct-19,0.913,sl2,bb polygons
23-Oct-19,0.567,sl2,bb polygons
26-Oct-19,0.665,sl2,bb polygons
26-Oct-19,0.685,sl2,bb polygons
26-Oct-19,0.865,sl2,bb polygons
26-Oct-19,0.693,sl2,bb polygons
10-Nov-19,-0.138,sl2,bb polygons
10-Nov-19,0.188,sl2,bb polygons
10-Nov-19,0.129,sl2,bb polygons
30-Nov-19,-0.2,sl2,bb polygons
30-Nov-19,0.416,sl2,bb polygons
5-Dec-19,-0.155,sl2,bb polygons
30-Dec-19,0.09,sl2,bb polygons
30-Dec-19,-0.224,sl2,bb polygons
30-Dec-19,0.436,sl2,bb polygons
30-Dec-19,0.401,sl2,bb polygons
1-Jan-20,0.115,sl2,bb polygons
1-Jan-20,0.134,sl2,bb polygons
1-Jan-20,0.428,sl2,bb polygons
6-Jan-20,0.145,sl2,bb polygons
11-Jan-20,0.035,sl2,bb polygons
11-Jan-20,0.496,sl2,bb polygons
14-Jan-20,0.238,sl2,bb polygons
14-Jan-20,-0.223,sl2,bb polygons
14-Jan-20,-0.046,sl2,bb polygons
14-Jan-20,0.608,sl2,bb polygons
16-Jan-20,0.23,sl2,bb polygons
19-Jan-20,0.603,sl2,bb polygons
21-Jan-20,0.387,sl2,bb polygons
21-Jan-20,0.496,sl2,bb polygons
24-Jan-20,0.28,sl2,bb polygons
24-Jan-20,-0.114,sl2,bb polygons
24-Jan-20,0.056,sl2,bb polygons
24-Jan-20,0.583,sl2,bb polygons
29-Jan-20,0.11,sl2,bb polygons
8-Feb-20,-0.02,sl2,bb polygons
8-Feb-20,-0.018,sl2,bb polygons
8-Feb-20,-0.014,sl2,bb polygons
8-Feb-20,0.631,sl2,bb polygons
13-Feb-20,0.611,sl2,bb polygons
18-Feb-20,0.368,sl2,bb polygons
18-Feb-20,-0.032,sl2,bb polygons
18-Feb-20,0.62,sl2,bb polygons
11-Mar-20,0.344,sl2,bb polygons
11-Mar-20,0.519,sl2,bb polygons
16-Mar-20,0.39,sl2,bb polygons
16-Mar-20,0.35,sl2,bb polygons
16-Mar-20,0.486,sl2,bb polygons
19-Mar-20,0.398,sl2,bb polygons
19-Mar-20,-0.058,sl2,bb polygons
19-Mar-20,0.588,sl2,bb polygons
19-Mar-20,0.565,sl2,bb polygons
24-Mar-20,-0.03,sl2,bb polygons
24-Mar-20,0.604,sl2,bb polygons
5-Apr-20,0.448,sl2,bb polygons
5-Apr-20,0.416,sl2,bb polygons
8-Apr-20,0.381,sl2,bb polygons
8-Apr-20,0.026,sl2,bb polygons
8-Apr-20,0.501,sl2,bb polygons
8-Apr-20,0.518,sl2,bb polygons
10-Apr-20,0.374,sl2,bb polygons
10-Apr-20,0.535,sl2,bb polygons
